agent,avg_cooperation,game,opponents,run_dir,session_id,session_round
qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,1
qwen/qwen3-next-80b-a3b-instruct(CoT),0.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,2
openai/gpt-oss-20b(CoT),1.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,1
qwen/qwen3-next-80b-a3b-instruct(CoT),1.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,3
qwen/qwen3-next-80b-a3b-instruct(CoT),1.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,4
openai/gpt-5-nano(CoT),0.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,1
openai/gpt-oss-20b(CoT),0.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,2
openai/gpt-5-nano(CoT),0.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,2
deepseek/deepseek-chat-v3.1(CoT),1.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,1
qwen/qwen3-next-80b-a3b-instruct(CoT),1.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,5
openai/gpt-5-nano(CoT),0.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,3
openai/gpt-5-nano(CoT),0.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,4
openai/gpt-oss-20b(CoT),0.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,3
openai/gpt-oss-20b(CoT),0.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,4
deepseek/deepseek-chat-v3.1(CoT),1.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,2
openai/gpt-5-nano(CoT),1.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,5
deepseek/deepseek-chat-v3.1(CoT),1.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,3
deepseek/deepseek-chat-v3.1(CoT),1.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,4
openai/gpt-oss-20b(CoT),0.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,5
deepseek/deepseek-chat-v3.1(CoT),1.0,PrisonersDilemma,session_0,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,5
