action,action_label,agent,cap,game,opponents,round,run_dir,session_id,session_round
C,Cooperate,qwen/qwen3-next-80b-a3b-instruct(CoT),100,PrisonersDilemma,session_0,1,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,1
D,Defect,qwen/qwen3-next-80b-a3b-instruct(CoT),100,PrisonersDilemma,session_0,1,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,1
C,Cooperate,qwen/qwen3-next-80b-a3b-instruct(CoT),100,PrisonersDilemma,session_0,2,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,2
D,Defect,qwen/qwen3-next-80b-a3b-instruct(CoT),100,PrisonersDilemma,session_0,2,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,2
C,Cooperate,qwen/qwen3-next-80b-a3b-instruct(CoT),100,PrisonersDilemma,session_0,3,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,3
D,Defect,qwen/qwen3-next-80b-a3b-instruct(CoT),0,PrisonersDilemma,session_0,3,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,3
C,Cooperate,qwen/qwen3-next-80b-a3b-instruct(CoT),100,PrisonersDilemma,session_0,4,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,4
D,Defect,qwen/qwen3-next-80b-a3b-instruct(CoT),0,PrisonersDilemma,session_0,4,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,4
C,Cooperate,qwen/qwen3-next-80b-a3b-instruct(CoT),100,PrisonersDilemma,session_0,5,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,5
D,Defect,qwen/qwen3-next-80b-a3b-instruct(CoT),0,PrisonersDilemma,session_0,5,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,5
C,Cooperate,openai/gpt-oss-20b(CoT),100,PrisonersDilemma,session_0,1,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,1
D,Defect,openai/gpt-oss-20b(CoT),0,PrisonersDilemma,session_0,1,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,1
C,Cooperate,openai/gpt-oss-20b(CoT),100,PrisonersDilemma,session_0,2,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,2
D,Defect,openai/gpt-oss-20b(CoT),100,PrisonersDilemma,session_0,2,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,2
C,Cooperate,openai/gpt-oss-20b(CoT),0,PrisonersDilemma,session_0,3,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,3
D,Defect,openai/gpt-oss-20b(CoT),100,PrisonersDilemma,session_0,3,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,3
C,Cooperate,openai/gpt-oss-20b(CoT),0,PrisonersDilemma,session_0,4,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,4
D,Defect,openai/gpt-oss-20b(CoT),100,PrisonersDilemma,session_0,4,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,4
C,Cooperate,openai/gpt-oss-20b(CoT),0,PrisonersDilemma,session_0,5,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,5
D,Defect,openai/gpt-oss-20b(CoT),100,PrisonersDilemma,session_0,5,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,5
C,Cooperate,openai/gpt-5-nano(CoT),100,PrisonersDilemma,session_0,1,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,1
D,Defect,openai/gpt-5-nano(CoT),100,PrisonersDilemma,session_0,1,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,1
C,Cooperate,openai/gpt-5-nano(CoT),99,PrisonersDilemma,session_0,2,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,2
D,Defect,openai/gpt-5-nano(CoT),100,PrisonersDilemma,session_0,2,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,2
C,Cooperate,openai/gpt-5-nano(CoT),0,PrisonersDilemma,session_0,3,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,3
D,Defect,openai/gpt-5-nano(CoT),100,PrisonersDilemma,session_0,3,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,3
C,Cooperate,openai/gpt-5-nano(CoT),0,PrisonersDilemma,session_0,4,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,4
D,Defect,openai/gpt-5-nano(CoT),100,PrisonersDilemma,session_0,4,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,4
C,Cooperate,openai/gpt-5-nano(CoT),100,PrisonersDilemma,session_0,5,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,5
D,Defect,openai/gpt-5-nano(CoT),0,PrisonersDilemma,session_0,5,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,5
C,Cooperate,deepseek/deepseek-chat-v3.1(CoT),100,PrisonersDilemma,session_0,1,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,1
D,Defect,deepseek/deepseek-chat-v3.1(CoT),50,PrisonersDilemma,session_0,1,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,1
C,Cooperate,deepseek/deepseek-chat-v3.1(CoT),100,PrisonersDilemma,session_0,2,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,2
D,Defect,deepseek/deepseek-chat-v3.1(CoT),50,PrisonersDilemma,session_0,2,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,2
C,Cooperate,deepseek/deepseek-chat-v3.1(CoT),100,PrisonersDilemma,session_0,3,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,3
D,Defect,deepseek/deepseek-chat-v3.1(CoT),0,PrisonersDilemma,session_0,3,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,3
C,Cooperate,deepseek/deepseek-chat-v3.1(CoT),100,PrisonersDilemma,session_0,4,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,4
D,Defect,deepseek/deepseek-chat-v3.1(CoT),0,PrisonersDilemma,session_0,4,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,4
C,Cooperate,deepseek/deepseek-chat-v3.1(CoT),100,PrisonersDilemma,session_0,5,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,5
D,Defect,deepseek/deepseek-chat-v3.1(CoT),0,PrisonersDilemma,session_0,5,outputs/2025/09/17/00:15_disarmament__openai-gpt-oss-20b-cot__deepseek-deepseek-chat-v3-1-cot__qwen-qwen3-next-80b-a3b-instruct__openai-gpt-5-nano-cot,session_0,5
