game,mechanism,model,player,label,count
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Individual utility maximization,15
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic equilibrium focus,14
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Social welfare maximization,2
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Strategic influence,2
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Reciprocity,1
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P1,Multidimensional reasoning,1
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Individual utility maximization,16
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Strategic equilibrium focus,14
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Social welfare maximization,3
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Trust evaluation,2
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Social norm conformity,2
PrisonersDilemma,Contracting,anthropic/claude-sonnet-4.5,anthropic/claude-sonnet-4.5(CoT)#P2,Multidimensional reasoning,2
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Individual utility maximization,18
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P1,Strategic equilibrium focus,16
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic equilibrium focus,18
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Individual utility maximization,15
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Strategic influence,1
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Trust evaluation,1
PrisonersDilemma,Contracting,google/gemini-3-flash-preview,google/gemini-3-flash-preview(CoT)#P2,Multidimensional reasoning,1
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Individual utility maximization,13
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic equilibrium focus,13
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Uncertainty evaluation,7
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Strategic influence,3
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Exploration-exploitation trade-off,3
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Social welfare maximization,2
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Inequity aversion,1
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P1,Risk aversion,1
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Individual utility maximization,14
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Strategic equilibrium focus,11
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Uncertainty evaluation,3
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Exploration-exploitation trade-off,2
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Risk aversion,2
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Multidimensional reasoning,2
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Strategic influence,1
PrisonersDilemma,Contracting,openai/gpt-4o-2024-05-13,openai/gpt-4o-2024-05-13(CoT)#P2,Social welfare maximization,1
PrisonersDilemma,Contracting,openai/gpt-5.2,openai/gpt-5.2(CoT)#P1,Individual utility maximization,6
PrisonersDilemma,Contracting,openai/gpt-5.2,openai/gpt-5.2(CoT)#P1,Strategic equilibrium focus,5
PrisonersDilemma,Contracting,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Individual utility maximization,10
PrisonersDilemma,Contracting,openai/gpt-5.2,openai/gpt-5.2(CoT)#P2,Strategic equilibrium focus,5
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Strategic equilibrium focus,18
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Individual utility maximization,17
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Risk aversion,1
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Strategic influence,1
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Strategy legibility,1
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P1,Multidimensional reasoning,1
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Individual utility maximization,17
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Strategic equilibrium focus,16
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Risk aversion,2
PrisonersDilemma,Contracting,qwen/qwen3-30b-a3b-instruct-2507,qwen/qwen3-30b-a3b-instruct-2507(CoT)#P2,Multidimensional reasoning,2
